proj_name,exptid,label,checkpoint,repeats,success_rate_mean,success_rate_std,mean_mxd_mean,mean_mxd_std,mean_normalized_waypoints_mean,mean_normalized_waypoints_std,fall_rate_mean,fall_rate_std,stuck_rate_mean,stuck_rate_std,mean_edge_violation_mean,mean_edge_violation_std,iteration
parkour_new,new_terrain_base_02,Base teacher,0,10,0.0,0.0,-0.05868360894942,5.461550898354001e-06,0.0,0.0,0.0079051383399209,0.0,0.9920948616600788,0.0,0.0,0.0,0
parkour_new,new_terrain_base_02,Base teacher,500,10,0.1229249011857707,0.0097541206950617,4.268201325839687,0.0743038262017982,0.337598814229249,0.0079145509673508,0.4355731225296443,0.0257251226802734,0.441501976284585,0.0241753813175858,0.2940971216709008,0.0060864189932284,500
parkour_new,new_terrain_base_02,Base teacher,1000,10,0.5118577075098815,0.0204810219889827,7.68343492114968,0.1777590875741714,0.6455533596837946,0.0175575395998542,0.4494071146245059,0.0135832729465925,0.0387351778656126,0.0110105836183273,0.119630750617032,0.0068440168434388,1000
parkour_new,new_terrain_base_02,Base teacher,1500,10,0.7648221343873518,0.015636395608579,10.350195104708314,0.0905614882525701,0.8727272727272727,0.008116011540862,0.2351778656126482,0.015636395608579,0.0,0.0,0.0664201149581907,0.0015759641308939,1500
parkour_new,new_terrain_base_02,Base teacher,2000,10,0.8387351778656125,0.0108677684465355,10.90430970401632,0.1392256005837483,0.924703557312253,0.0090192007736937,0.1612648221343873,0.0108677684465355,0.0,0.0,0.0712871688828707,0.0018636119485997,2000
parkour_new,new_terrain_base_02,Base teacher,3000,10,0.8920948616600791,0.0058759165009164,11.43085382220302,0.0556984244189979,0.9547430830039524,0.0034810108604364,0.1079051383399209,0.0058759165009164,0.0,0.0,0.0566646260480369,0.0013573468323386,3000
parkour_new,new_terrain_base_02,Base teacher,4000,10,0.9616600790513834,0.0079150135946643,11.867407043201649,0.0380425081684531,0.9890810276679844,0.003008970351499,0.0383399209486165,0.0079150135946643,0.0,0.0,0.0330023441603006,0.0006459054496074,4000
parkour_new,new_terrain_base_02,Base teacher,5000,10,0.9577075098814228,0.007715107231598,11.883569274118296,0.0248024665492306,0.9894268774703558,0.0019287768078995,0.042292490118577,0.007715107231598,0.0,0.0,0.0294052137569323,0.000792769463726,5000
parkour_new,new_terrain_base_02,Base teacher,5500,10,0.96798418972332,0.009090909090909,11.879217990490758,0.0354876297691784,0.989822134387352,0.0024920000420787,0.0320158102766798,0.009090909090909,0.0,0.0,0.0273912123082393,0.0007832948881346,5500
parkour_new,new_terrain_base_02,Base teacher,6000,10,0.9636363636363636,0.0094861660079051,11.885367075586506,0.0354223595061701,0.9905632411067192,0.0028677414744924,0.0363636363636363,0.0094861660079051,0.0,0.0,0.0246778860058866,0.0006501667920527,6000
parkour_new,new_terrain_base_02,Base teacher,6500,10,0.9849802371541502,0.0084403780648468,11.965587324021834,0.0382110126343948,0.995998023715415,0.0028762410232861,0.0150197628458498,0.0084403780648468,0.0,0.0,0.0230230046921555,0.0005404079130619,6500
parkour_new,new_terrain_base_02,Base teacher,7000,10,0.9715415019762844,0.0078655133368112,11.910445816761891,0.0295042423972788,0.9918478260869564,0.0026537646249003,0.0284584980237154,0.0078655133368112,0.0,0.0,0.023304400865476,0.0007837396140336,7000
parkour_new,new_terrain_base_02,Base teacher,7500,10,0.9849802371541502,0.0052436755578741,11.963792398136125,0.0207359693756751,0.9960474308300394,0.0015623901483045,0.0150197628458497,0.0052436755578741,0.0,0.0,0.0197697223173956,0.0003365790551776,7500
parkour_new,new_terrain_base_02,Base teacher,8000,10,0.7940711462450591,0.022250542205593,11.129486363937731,0.1224518045634784,0.9225790513833992,0.009343171467309,0.2059288537549407,0.0222505422055929,0.0,0.0,0.0509332981463569,0.0015170765441502,8000
parkour_new,new_terrain_base_02,Base teacher,8500,10,0.902766798418972,0.009386831689358,11.55590821615321,0.0810463508181225,0.9659584980237153,0.0062042825581174,0.0972332015810276,0.009386831689358,0.0,0.0,0.0353877630699065,0.0007898322893543,8500
parkour_new,new_terrain_base_02,Base teacher,9000,10,0.9106719367588934,0.0159284123949485,11.567777083089702,0.0869400175246474,0.967588932806324,0.0058717606785555,0.0893280632411067,0.0159284123949485,0.0,0.0,0.0306915179178218,0.0010133667224505,9000
parkour_new,new_terrain_base_02,Base teacher,9500,10,0.9130434782608696,0.0193635552789184,11.617820674793524,0.1204541214943755,0.9686264822134388,0.0087751542187444,0.0869565217391304,0.0193635552789184,0.0,0.0,0.0309079664133793,0.0012384206816842,9500
parkour_new,new_terrain_base_02,Base teacher,10000,10,0.8774703557312252,0.0093534858230823,11.253693068239528,0.0972470102610421,0.9468379446640316,0.0062190193587191,0.1225296442687746,0.0093534858230823,0.0,0.0,0.0321525632605457,0.0007967764112996,10000
parkour_new,new_terrain_base_02,Base teacher,10500,10,0.8885375494071145,0.0107230513567197,11.503421242835492,0.05664735362107,0.9593379446640315,0.0043413646741529,0.1114624505928853,0.0107230513567197,0.0,0.0,0.0352788184401933,0.00088597344839,10500
