label,iteration,checkpoint,success_rate_gap,success_rate_teacher,success_rate_student,fall_rate_gap,fall_rate_teacher,fall_rate_student,stuck_rate_gap,stuck_rate_teacher,stuck_rate_student,mean_normalized_waypoints_gap,mean_normalized_waypoints_teacher,mean_normalized_waypoints_student,mean_mxd_gap,mean_mxd_teacher,mean_mxd_student,mean_edge_violation_gap,mean_edge_violation_teacher,mean_edge_violation_student
Base gap,2400,2400,0.21051643318724056,0.9355731225296442,0.7250566893424036,0.20484749894687782,0.0644268774703557,0.2692743764172335,0.0056689342403628,0.0,0.0056689342403628,0.15041514300054692,0.9757411067193678,0.8253259637188208,2.330343753872244,11.68670935995965,9.356365606087406,0.066296632343566,0.021112009241193,0.087408641584759
Base gap,2800,2800,0.3329654127790773,0.9355731225296442,0.6026077097505669,0.2377273175409822,0.0644268774703557,0.3021541950113379,0.0895691609977324,0.0,0.0895691609977324,0.25798317021143113,0.9757411067193678,0.7177579365079366,3.4812633933755794,11.68670935995965,8.20544596658407,0.0673789923951047,0.021112009241193,0.0884910016362977
Base gap,3200,3200,0.1776366145931363,0.9355731225296442,0.7579365079365079,0.16346427899222932,0.0644268774703557,0.227891156462585,0.014172335600907,0.0,0.014172335600907,0.12511752395292786,0.9757411067193678,0.8506235827664399,1.916237167654904,11.68670935995965,9.770472192304746,0.0609151238010819,0.021112009241193,0.0820271330422749
Base gap,3600,3600,0.20541439237091408,0.9355731225296442,0.7301587301587301,0.17706972116910008,0.0644268774703557,0.2414965986394558,0.028344671201814,0.0,0.028344671201814,0.13872296612979862,0.9757411067193678,0.8370181405895691,2.1036044455463614,11.68670935995965,9.583104914413289,0.0762066052650474,0.021112009241193,0.0973186145062404
Base gap,4000,4000,0.2864801520081023,0.9355731225296442,0.6490929705215419,0.2581354808062883,0.0644268774703557,0.322562358276644,0.0272108843537414,0.0,0.0272108843537414,0.2025693380118847,0.9757411067193678,0.773171768707483,2.800573875536154,11.68670935995965,8.886135484423496,0.0677046528491884,0.021112009241193,0.0888166620903814
Base gap,4400,4400,0.20087924497862386,0.9355731225296442,0.7346938775510203,0.18614001595368052,0.0644268774703557,0.2505668934240362,0.0147392290249433,0.0,0.0147392290249433,0.14099053982594367,0.9757411067193678,0.8347505668934241,2.1472453694586537,11.68670935995965,9.539463990500996,0.0705202704079018,0.021112009241193,0.0916322796490948
Base gap,4800,4800,0.3658452313731816,0.9355731225296442,0.5697278911564626,0.2915821928244288,0.0644268774703557,0.3560090702947845,0.0731292517006802,0.0,0.0731292517006802,0.2891623085334267,0.9757411067193678,0.686578798185941,3.735663473128702,11.68670935995965,7.951045886830948,0.0857620613683082,0.021112009241193,0.1068740706095012
Base gap,5000,5000,0.26096994792646955,0.9355731225296442,0.6746031746031746,0.247364505749599,0.0644268774703557,0.3117913832199547,0.0136054421768707,0.0,0.0136054421768707,0.20235675297787115,0.9757411067193678,0.7733843537414966,2.857444937735698,11.68670935995965,8.829264422223952,0.0929534395338439,0.021112009241193,0.1140654487750369
Base gap,5500,5500,0.3409019207155852,0.9355731225296442,0.594671201814059,0.2564348005341794,0.0644268774703557,0.3208616780045351,0.0799319727891156,0.0,0.0799319727891156,0.2334650296218621,0.9757411067193678,0.7422760770975056,3.2879357695738722,11.68670935995965,8.398773590385778,0.0887222198281036,0.021112009241193,0.1098342290692966
Base gap,6000,6000,0.2150515805795309,0.9355731225296442,0.7205215419501133,0.1946434173142248,0.0644268774703557,0.2590702947845805,0.0204081632653061,0.0,0.0204081632653061,0.14332897520009347,0.9757411067193678,0.8324121315192743,2.17340773039499,11.68670935995965,9.51330162956466,0.0850415460134369,0.021112009241193,0.1061535552546299
