iteration,success_rate_tt_student,success_rate_base_student,success_rate_tt_advantage,fall_rate_tt_student,fall_rate_base_student,fall_rate_tt_advantage,stuck_rate_tt_student,stuck_rate_base_student,stuck_rate_tt_advantage,mean_normalized_waypoints_tt_student,mean_normalized_waypoints_base_student,mean_normalized_waypoints_tt_advantage,mean_mxd_tt_student,mean_mxd_base_student,mean_mxd_tt_advantage,mean_edge_violation_tt_student,mean_edge_violation_base_student,mean_edge_violation_tt_advantage
2400,0.7059288537549407,0.7250566893424036,-0.019127835587462894,0.283399209486166,0.2692743764172335,-0.014124833068932474,0.0106719367588932,0.0056689342403628,-0.0050030025185304,0.8295948616600791,0.8253259637188208,0.004268897941258287,9.829033021681866,9.356365606087406,0.4726674155944597,0.0974205711050774,0.087408641584759,-0.010011929520318402
2800,0.7608695652173912,0.6026077097505669,0.15826185546682436,0.2347826086956521,0.3021541950113379,0.0673715863156858,0.0039525691699604,0.0895691609977324,0.08561659182777201,0.8645256916996047,0.7177579365079366,0.14676775519166807,10.251586035117802,8.20544596658407,2.046140068533731,0.0886985815510098,0.0884910016362977,-0.000207579914712111
3200,0.7656126482213439,0.7579365079365079,0.007676140284835986,0.2324110671936758,0.227891156462585,-0.004519910731090787,0.0019762845849802,0.014172335600907,0.012196051015926801,0.8700592885375492,0.8506235827664399,0.019435705771109313,10.284904314406775,9.770472192304746,0.5144321221020292,0.0985341970098088,0.0820271330422749,-0.016507063967533903
3600,0.7699604743083004,0.7301587301587301,0.03980174414957027,0.2280632411067193,0.2414965986394558,0.0134333575327365,0.0015810276679841,0.028344671201814,0.0267636435338299,0.8710968379446641,0.8370181405895691,0.034078697355094945,10.379239878352925,9.583104914413289,0.796134963939636,0.1051448317425137,0.0973186145062404,-0.007826217236273303
4000,0.8051383399209486,0.6490929705215419,0.15604536939940672,0.1928853754940711,0.322562358276644,0.1296769827825729,0.0019762845849802,0.0272108843537414,0.025234599768761197,0.8942193675889328,0.773171768707483,0.12104759888144978,10.609531619944592,8.886135484423496,1.7233961355210958,0.1010597490394393,0.0888166620903814,-0.012243086949057902
4400,0.7818181818181819,0.7346938775510203,0.04712430426716152,0.2130434782608695,0.2505668934240362,0.03752341516316671,0.0051383399209486,0.0147392290249433,0.0096008891039947,0.8845849802371542,0.8347505668934241,0.049834413343730066,10.557327035952934,9.539463990500996,1.0178630454519375,0.1154771800516207,0.0916322796490948,-0.023844900402525904
4800,0.8316205533596838,0.5697278911564626,0.26189266220322116,0.1652173913043478,0.3560090702947845,0.19079167899043672,0.0031620553359683,0.0731292517006802,0.0699671963647119,0.912598814229249,0.686578798185941,0.22602001604330801,10.85782926751691,7.951045886830948,2.9067833806859626,0.1174385802052291,0.1068740706095012,-0.010564509595727897
5000,0.7956521739130434,0.6746031746031746,0.12104899930986879,0.2031620553359683,0.3117913832199547,0.10862932788398641,0.0011857707509881,0.0136054421768707,0.012419671425882598,0.8899703557312254,0.7733843537414966,0.1165860019897288,10.573052677900892,8.829264422223952,1.7437882556769395,0.1028795603865025,0.1140654487750369,0.01118588838853439
5500,0.8351778656126483,0.594671201814059,0.24050666379858932,0.1612648221343873,0.3208616780045351,0.15959685587014777,0.0035573122529644,0.0799319727891156,0.07637466053615119,0.9150691699604744,0.7422760770975056,0.17279309286296873,10.864590452311068,8.398773590385778,2.4658168619252905,0.108585102838583,0.1098342290692966,0.0012491262307136042
6000,0.8339920948616601,0.7205215419501133,0.11347055291154684,0.1636363636363636,0.2590702947845805,0.09543393114821688,0.0023715415019762,0.0204081632653061,0.0180366217633299,0.9125,0.8324121315192743,0.08008786848072569,10.863909800439012,9.51330162956466,1.3506081708743523,0.1065835028948797,0.1061535552546299,-0.0004299476402497976
