proj_name,exptid,label,checkpoint,repeats,success_rate_mean,success_rate_std,mean_mxd_mean,mean_mxd_std,mean_normalized_waypoints_mean,mean_normalized_waypoints_std,fall_rate_mean,fall_rate_std,stuck_rate_mean,stuck_rate_std,mean_edge_violation_mean,mean_edge_violation_std,mean_heading_loss_mean,mean_heading_loss_std,iteration
parkour_new,02-new-terrain-distill,Base student,2400,7,0.7250566893424036,0.0138821385172197,9.356365606087406,0.1743196404297456,0.8253259637188208,0.0085168740901153,0.2692743764172335,0.0154419937322859,0.0056689342403628,0.0050492778593678,0.087408641584759,0.0041449085532463,0.0,0.0,2400
parkour_new,02-new-terrain-distill,Base student,2800,7,0.6026077097505669,0.0360382551450985,8.20544596658407,0.3111115343054473,0.7177579365079366,0.025811133167803,0.3021541950113379,0.0249325717279826,0.0895691609977324,0.0213521494963348,0.0884910016362977,0.0069398235577145,0.0,0.0,2800
parkour_new,02-new-terrain-distill,Base student,3200,7,0.7579365079365079,0.0186127609516802,9.770472192304746,0.2005497125353826,0.8506235827664399,0.0128024521099418,0.227891156462585,0.0226639236045872,0.014172335600907,0.0050492778593678,0.0820271330422749,0.0054678969809623,0.0,0.0,3200
parkour_new,02-new-terrain-distill,Base student,3600,7,0.7301587301587301,0.0168358757425368,9.583104914413289,0.1845005861238364,0.8370181405895691,0.0145489224111291,0.2414965986394558,0.0077452386741947,0.028344671201814,0.0138280169134359,0.0973186145062404,0.0070855752917553,0.0,0.0,3600
parkour_new,02-new-terrain-distill,Base student,4000,7,0.6490929705215419,0.0574075815679494,8.886135484423496,0.3989121085799632,0.773171768707483,0.0375203718855289,0.322562358276644,0.0480423363667535,0.0272108843537414,0.0122156435063446,0.0888166620903814,0.0028173598581573,0.0,0.0,4000
parkour_new,02-new-terrain-distill,Base student,4400,7,0.7346938775510203,0.0241845000087319,9.539463990500996,0.2793348900861859,0.8347505668934241,0.0182240843242425,0.2505668934240362,0.0245078983233756,0.0147392290249433,0.0078414565084075,0.0916322796490948,0.0030376487026226,0.0,0.0,4400
parkour_new,02-new-terrain-distill,Base student,4800,7,0.5697278911564626,0.0321450733164688,7.951045886830948,0.2171488188400648,0.686578798185941,0.0197343942228464,0.3560090702947845,0.0278451833070662,0.0731292517006802,0.0107111358433623,0.1068740706095012,0.0097760343896405,0.0,0.0,4800
parkour_new,02-new-terrain-distill,Base student,5000,7,0.6746031746031746,0.0097201973919967,8.829264422223952,0.1334176128542094,0.7733843537414966,0.0070232943898965,0.3117913832199547,0.0177254317889512,0.0136054421768707,0.0111904627887323,0.1140654487750369,0.0098914583075656,0.0,0.0,5000
parkour_new,02-new-terrain-distill,Base student,5500,7,0.594671201814059,0.0439759755929448,8.398773590385778,0.3351802218716206,0.7422760770975056,0.0250055389699545,0.3208616780045351,0.0341691455009515,0.0799319727891156,0.0186730942086174,0.1098342290692966,0.0046119876965501,0.0,0.0,5500
parkour_new,02-new-terrain-distill,Base student,6000,7,0.7205215419501133,0.0209801632156966,9.51330162956466,0.2423658765193498,0.8324121315192743,0.0162570033278106,0.2590702947845805,0.0185724298946419,0.0204081632653061,0.007398628855046,0.1061535552546299,0.0077097123706391,0.0,0.0,6000
parkour_new,02-new-terrain-distill,Base student,6500,7,0.7448979591836735,0.0179983082385346,9.73825844797958,0.1961942953387961,0.8451672335600907,0.0145871249846403,0.2210884353741496,0.0182876222024719,0.0334467120181405,0.0125188073129643,0.0874606630428795,0.0064070165542836,0.0,0.0,6500
parkour_new,02-new-terrain-distill,Base student,7000,7,0.6666666666666666,0.0267182670327039,9.304575031745731,0.2344934909143552,0.8027210884353743,0.018831171505039,0.2777777777777778,0.0270113463712462,0.0532879818594104,0.0148225738239141,0.1080787355764496,0.0069353927774241,0.0,0.0,7000
parkour_new,02-new-terrain-distill,Base student,7500,7,0.649092970521542,0.0307257630396268,8.92748774855045,0.1483639244828684,0.7735260770975058,0.0129598111633382,0.3231292517006802,0.0308961250116959,0.0272108843537414,0.0077452386741947,0.0996484511817542,0.0062343754814899,0.0,0.0,7500
parkour_new,02-new-terrain-distill,Base student,8000,7,0.7789115646258502,0.0185724298946418,10.015378137564714,0.2096900209268406,0.8768424036281178,0.0124756809108173,0.2210884353741496,0.0185724298946419,0.0,0.0,0.0824002492960762,0.0016360002347945,0.0,0.0,8000
parkour_new,02-new-terrain-distill,Base student,8500,7,0.75,0.020872663806957,9.86032777342126,0.2109074677000056,0.8571428571428571,0.0147063165479896,0.2267573696145124,0.0208006888898478,0.0226757369614512,0.0111569081021356,0.0956687273218499,0.0083128528382931,0.0,0.0,8500
parkour_new,02-new-terrain-distill,Base student,9000,7,0.6740362811791384,0.0287462110060843,8.925182104482403,0.175986142100071,0.7813917233560091,0.0129466955443465,0.3072562358276644,0.0268023310066473,0.0187074829931972,0.0071407572289082,0.0939662129954486,0.0079564977342723,0.0,0.0,9000
parkour_new,02-new-terrain-distill,Base student,9500,7,0.6785714285714286,0.0271083353596814,8.99821676249677,0.2473724495179128,0.7903202947845804,0.0181435418988362,0.2800453514739229,0.017426787016938,0.0408163265306122,0.0208367074257246,0.1012159997863003,0.0073155564458919,0.0,0.0,9500
parkour_new,02-new-terrain-distill,Base student,10000,7,0.6768707482993197,0.0355564666226002,9.103368775272855,0.2933407387034062,0.7962726757369615,0.0225111613827736,0.2891156462585034,0.0277237353573719,0.0334467120181406,0.0149985901987788,0.0946739799223716,0.0110177340650492,0.0,0.0,10000
parkour_new,02-new-terrain-distill,Base student,10500,7,0.7046485260770975,0.0161771691049315,9.616680416795942,0.1113971651853178,0.8297902494331065,0.0082179181411369,0.2806122448979591,0.0163156352744406,0.0147392290249433,0.0093666165770171,0.0987692741360379,0.0060094231304191,0.0,0.0,10500
parkour_new,02-new-terrain-distill,Base student,11000,7,0.719954648526077,0.0218382769662791,9.74139429760628,0.2088894786148673,0.8479308390022675,0.0106650945182251,0.246031746031746,0.020872663806957,0.0334467120181405,0.0156829130168151,0.0993500271376569,0.0052070103989002,0.0,0.0,11000
parkour_new,02-new-terrain-distill,Base student,11500,7,0.7029478458049887,0.0138280169134359,9.259178835890191,0.3008055033409901,0.8097363945578231,0.0111132409752738,0.2857142857142857,0.0133591335163519,0.010204081632653,0.0085285594077073,0.09325499124764,0.0088311423498773,0.0,0.0,11500
parkour_new,02-new-terrain-distill,Base student,12000,7,0.6490929705215419,0.0384639033288413,9.111866695945766,0.294676765031528,0.7881944444444444,0.0244065765875844,0.2811791383219955,0.0337829163681526,0.06859410430839,0.0149735716822808,0.0849144454676002,0.0115938137654761,0.0,0.0,12000
parkour_new,02-new-terrain-distill,Base student,12500,7,0.6587301587301587,0.0350466701044755,9.119125273999444,0.2922031441374587,0.7969104308390023,0.021828885947313,0.2857142857142857,0.0353449450155751,0.0515873015873015,0.0097201973919967,0.1163148515267242,0.0100939733113967,0.0,0.0,12500
parkour_new,02-new-terrain-distill,Base student,13000,7,0.6020408163265306,0.0422275356257522,8.471250563353097,0.3260671795725958,0.7386621315192743,0.0304503549957231,0.3435374149659864,0.0503440513822656,0.0527210884353741,0.024751461060975,0.1150227703939602,0.0102772197881271,0.0,0.0,13000
parkour_new,02-new-terrain-distill,Base student,13500,7,0.6729024943310657,0.013331038567239,9.298849700124356,0.1754172895044187,0.8043509070294784,0.0118732260562396,0.3010204081632652,0.0134430660709239,0.0260770975056689,0.0175767436949863,0.1014597839779751,0.0126192183934684,0.0,0.0,13500
parkour_new,02-new-terrain-distill,Base student,14000,7,0.6439909297052154,0.0252760734802811,9.046306182129854,0.1973256119638608,0.7808248299319728,0.0177821871050355,0.2800453514739229,0.0172755287197874,0.0759637188208616,0.0130467620127058,0.094859404404339,0.0081985938348478,0.0,0.0,14000
parkour_new,02-new-terrain-distill,Base student,14500,7,0.6133786848072562,0.0342786973867185,8.587434838316877,0.2620587804529902,0.7419217687074828,0.0179686642142924,0.3401360544217687,0.0289541429096143,0.046485260770975,0.0174052591680566,0.0983298313599614,0.0065382021761647,0.0,0.0,14500
parkour_new,02-new-terrain-distill,Base student,15000,7,0.5941043083900226,0.048908591214066,8.605057633450242,0.3477985088684563,0.7472363945578231,0.0259977065703799,0.3435374149659864,0.0386001280523976,0.0612244897959183,0.0151725647514329,0.1032989833442676,0.0083555258800646,0.0,0.0,15000
parkour_new,02-new-terrain-distill,Base student,15500,7,0.5419501133786848,0.0228943543155427,7.890589501514455,0.2877274313036391,0.6839569160997733,0.0199616646789622,0.36281179138322,0.0241224087637686,0.0935374149659864,0.0137191331960972,0.0961242860742599,0.0075171633258666,0.0,0.0,15500
parkour_new,02-new-terrain-distill,Base student,16000,7,0.6785714285714286,0.0392168441279724,9.24495603796306,0.2462719432867278,0.8030045351473923,0.0250703502723236,0.2874149659863945,0.0379832695669001,0.032312925170068,0.0136368998886384,0.0922539174545677,0.0111366923199094,0.0,0.0,16000
parkour_new,02-new-terrain-distill,Base student,16500,7,0.608843537414966,0.0320633236788645,8.934986597421219,0.1989170009094999,0.7673611111111113,0.0172711197504227,0.3197278911564626,0.0274792292411657,0.0702947845804988,0.0156589878876792,0.0988161500628066,0.008348704350181,0.0,0.0,16500
parkour_new,02-new-terrain-distill,Base student,17000,7,0.6184807256235827,0.0440951749709911,8.568958753833966,0.2434287104401662,0.7361111111111113,0.0263099527525345,0.3526077097505668,0.0413935728774334,0.0277777777777777,0.0116822233681585,0.0978451256693081,0.0096001836392055,0.0,0.0,17000
parkour_new,02-new-terrain-distill,Base student,17500,7,0.6938775510204082,0.0382978361769943,9.512396256095156,0.2730128438404173,0.8249007936507937,0.0255636879498514,0.2613378684807256,0.0280998497310515,0.0436507936507936,0.0137464349807053,0.0951494049658685,0.0101931473825207,0.0,0.0,17500
parkour_new,02-new-terrain-distill,Base student,18000,7,0.6037414965986395,0.0316158517571253,8.66859957903556,0.1075449474359523,0.7456065759637188,0.0204708092253896,0.3270975056689342,0.0268023310066473,0.06859410430839,0.0199355281857943,0.0892181462236483,0.0062380314451463,0.0,0.0,18000
parkour_new,02-new-terrain-distill,Base student,18500,7,0.6626984126984127,0.0273972422978941,9.024518481390276,0.2738942951578972,0.7840844671201814,0.0155327763705444,0.2998866213151928,0.0242309640285289,0.0374149659863945,0.0212288783247799,0.0824490527546399,0.0067232608622656,0.0,0.0,18500
parkour_new,02-new-terrain-distill,Base student,19000,7,0.5833333333333334,0.0512811427909527,8.43499669702956,0.44520769011932,0.7330640589569162,0.0358465782787037,0.3475056689342403,0.0529855847870654,0.0680272108843537,0.0244005751375535,0.0971829317343459,0.0115080798553915,0.0,0.0,19000
parkour_new,02-new-terrain-distill,Base student,19500,7,0.5850340136054422,0.025394463231039,8.861024794867792,0.2220851651562395,0.7593537414965985,0.010628779278995,0.3452380952380953,0.0277777777777777,0.0697278911564625,0.0219581272890344,0.1073569916974914,0.0118413751013168,0.0,0.0,19500
parkour_new,02-new-terrain-distill,Base student,20000,7,0.7227891156462585,0.0244005751375535,9.745445238219366,0.1801580322090289,0.8468679138321995,0.014880165008144,0.2488662131519274,0.0171010239557804,0.028344671201814,0.011998872159023,0.1094821178209694,0.0073182651660077,0.0,0.0,20000
