policy_id,checkpoint,seed,env_id,terrain_name,terrain_type,terrain_level,start_x,final_x,mxd,num_waypoints,normalized_waypoints,episode_length,success,fall,stuck,edge_violation,failure_reason
parkour_new/010-distill-phase2-7500-tt,2400,1002,72,beam_gap,20,1,18.99985122680664,20.710216522216797,1.7103652954101562,1,0.125,178,0,1,0,0.01694915254237288,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,97,parkour_v2,22,3,54.999691009521484,58.43413543701172,3.4344444274902344,4,0.5,190,0,1,0,0.12169312169312169,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,101,parkour_v2,22,3,55.0,58.57013702392578,3.5701370239257812,4,0.5,203,0,1,0,0.06930693069306931,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,104,parkour_v2,22,0,0.9999856352806091,5.0470170974731445,4.047031462192535,4,0.5,205,0,1,0,0.024509803921568627,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,98,parkour_v2,22,0,1.0000118017196655,4.921169757843018,3.921157956123352,3,0.375,215,0,1,0,0.07476635514018691,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,90,asymmetric_gap,21,0,1.0,3.792840003967285,2.792840003967285,2,0.25,230,0,1,0,0.08296943231441048,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,94,parkour_v2,22,3,54.9998664855957,58.227169036865234,3.2273025512695312,4,0.5,237,0,1,0,0.038135593220338986,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,79,beam_gap,20,2,36.99946975708008,41.01013946533203,4.010669708251953,2,0.25,241,0,1,0,0.004166666666666667,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,102,parkour_v2,22,0,0.9997262954711914,4.619503498077393,3.619777202606201,4,0.5,244,0,1,0,0.053497942386831275,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,50,parkour_gap,18,4,73.00003814697266,76.31788635253906,3.3178482055664062,2,0.25,248,0,1,0,0.15789473684210525,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,73,beam_gap,20,3,54.99989318847656,58.88153076171875,3.8816375732421875,2,0.25,262,0,1,0,0.03065134099616858,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,76,beam_gap,20,0,0.999805748462677,4.360730171203613,3.3609244227409363,2,0.25,270,0,1,0,0.022304832713754646,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,87,asymmetric_gap,21,1,18.999536514282227,23.33265495300293,4.333118438720703,3,0.375,270,0,1,0,0.06319702602230483,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,77,beam_gap,20,3,54.99962615966797,60.51438522338867,5.514759063720703,3,0.375,279,0,1,0,0.07194244604316546,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,82,asymmetric_gap,21,2,36.99949645996094,41.12471008300781,4.125213623046875,3,0.375,280,0,1,0,0.03942652329749104,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,78,beam_gap,20,4,72.99946594238281,79.26200866699219,6.262542724609375,3,0.375,285,0,1,0,0.06690140845070422,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,88,asymmetric_gap,21,0,0.9994533658027649,5.5540971755981445,4.55464380979538,3,0.375,295,0,1,0,0.05442176870748299,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,81,beam_gap,20,0,1.000000238418579,4.529943466186523,3.5299432277679443,2,0.25,298,0,1,0,0.3063973063973064,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,75,beam_gap,20,0,1.0,5.540268898010254,4.540268898010254,2,0.25,308,0,1,0,0.013029315960912053,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,84,asymmetric_gap,21,3,54.999755859375,59.270362854003906,4.270606994628906,3,0.375,315,0,1,0,0.08598726114649681,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,83,asymmetric_gap,21,0,0.9996523261070251,5.600503444671631,4.600851118564606,3,0.375,330,0,1,0,0.04559270516717325,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,72,beam_gap,20,1,19.0,20.672786712646484,1.6727867126464844,1,0.125,155,0,1,0,0.012903225806451613,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,70,beam_gap,20,1,18.99994659423828,23.36100959777832,4.361063003540039,2,0.25,363,0,1,0,0.03867403314917127,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,92,asymmetric_gap,21,0,0.9999681115150452,6.277139186859131,5.277171075344086,4,0.5,378,0,1,0,0.04774535809018567,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,91,asymmetric_gap,21,2,36.99971008300781,41.7555046081543,4.755794525146484,3,0.375,385,0,1,0,0.0703125,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,101,parkour_v2,22,3,55.0,58.6597785949707,3.659778594970703,4,0.5,187,0,1,0,0.1657754010695187,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,97,parkour_v2,22,3,55.0,58.539424896240234,3.5394248962402344,4,0.5,203,0,1,0,0.10837438423645321,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,74,beam_gap,20,0,0.9999948143959045,7.590958595275879,6.590963780879974,3,0.375,398,0,1,0,0.022670025188916875,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,85,asymmetric_gap,21,0,1.0,5.5891852378845215,4.5891852378845215,3,0.375,424,0,1,0,0.08037825059101655,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,0,parkour,14,0,0.9997634291648865,8.799431800842285,7.799668371677399,8,1.0,440,1,0,0,0.02050113895216401,success
parkour_new/010-distill-phase2-7500-tt,2400,1002,98,parkour_v2,22,0,1.0,4.7511749267578125,3.7511749267578125,4,0.5,229,0,1,0,0.06986899563318777,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,10,parkour,14,2,36.99995422363281,45.310977935791016,8.311023712158203,8,1.0,445,1,0,0,0.04504504504504504,success
parkour_new/010-distill-phase2-7500-tt,2400,1002,94,parkour_v2,22,3,55.0,58.23532485961914,3.2353248596191406,4,0.5,211,0,1,0,0.061611374407582936,fall
parkour_new/010-distill-phase2-7500-tt,2400,1002,104,parkour_v2,22,0,1.0,4.924748420715332,3.924748420715332,4,0.5,251,0,1,0,0.13147410358565736,fall
