proj_name,exptid,label,checkpoint,repeats,success_rate_mean,success_rate_std,mean_mxd_mean,mean_mxd_std,mean_normalized_waypoints_mean,mean_normalized_waypoints_std,fall_rate_mean,fall_rate_std,stuck_rate_mean,stuck_rate_std,mean_edge_violation_mean,mean_edge_violation_std
parkour_new,new_terrain_base_02,main,0,10,0.0,0.0,-0.058683608949420006,5.461550898354001e-06,0.0,0.0,0.007905138339920946,0.0,0.9920948616600789,0.0,0.0,0.0
parkour_new,new_terrain_base_02,main,500,10,0.12292490118577075,0.009754120695061715,4.268201325839687,0.07430382620179826,0.33759881422924903,0.007914550967350886,0.4355731225296443,0.025725122680273483,0.441501976284585,0.024175381317585818,0.2940971216709008,0.006086418993228486
parkour_new,new_terrain_base_02,main,1000,10,0.5118577075098815,0.020481021988982794,7.68343492114968,0.17775908757417141,0.6455533596837946,0.017557539599854254,0.44940711462450594,0.013583272946592555,0.03873517786561265,0.011010583618327368,0.11963075061703203,0.00684401684343885
parkour_new,new_terrain_base_02,main,1500,10,0.7648221343873518,0.015636395608579046,10.350195104708314,0.09056148825257013,0.8727272727272727,0.008116011540862077,0.23517786561264825,0.01563639560857904,0.0,0.0,0.06642011495819071,0.0015759641308939177
parkour_new,new_terrain_base_02,main,2000,10,0.8387351778656125,0.01086776844653558,10.904309704016319,0.13922560058374836,0.924703557312253,0.009019200773693713,0.16126482213438736,0.010867768446535591,0.0,0.0,0.0712871688828707,0.0018636119485997517
parkour_new,new_terrain_base_02,main,3000,10,0.8920948616600791,0.005875916500916418,11.43085382220302,0.055698424418997965,0.9547430830039525,0.003481010860436476,0.10790513833992095,0.005875916500916405,0.0,0.0,0.056664626048036904,0.0013573468323386266
parkour_new,new_terrain_base_02,main,4000,10,0.9616600790513834,0.007915013594664351,11.867407043201649,0.03804250816845314,0.9890810276679843,0.003008970351499022,0.038339920948616595,0.007915013594664342,0.0,0.0,0.03300234416030064,0.0006459054496074676
parkour_new,new_terrain_base_02,main,5000,10,0.9577075098814228,0.00771510723159807,11.883569274118296,0.024802466549230698,0.9894268774703558,0.001928776807899543,0.042292490118577074,0.007715107231598076,0.0,0.0,0.029405213756932325,0.0007927694637260201
parkour_new,new_terrain_base_02,main,5500,10,0.9679841897233201,0.009090909090909085,11.879217990490758,0.03548762976917847,0.9898221343873519,0.0024920000420787544,0.03201581027667984,0.00909090909090909,0.0,0.0,0.027391212308239384,0.0007832948881346296
parkour_new,new_terrain_base_02,main,6000,10,0.9636363636363635,0.009486166007905146,11.885367075586506,0.035422359506170155,0.9905632411067191,0.0028677414744924063,0.03636363636363636,0.009486166007905137,0.0,0.0,0.02467788600588664,0.0006501667920527339
parkour_new,new_terrain_base_02,main,6500,10,0.9849802371541502,0.008440378064846888,11.965587324021834,0.03821101263439486,0.995998023715415,0.0028762410232861424,0.015019762845849802,0.008440378064846887,0.0,0.0,0.023023004692155537,0.0005404079130619089
parkour_new,new_terrain_base_02,main,7000,10,0.9715415019762845,0.00786551333681123,11.910445816761891,0.02950424239727883,0.9918478260869564,0.002653764624900368,0.02845849802371541,0.007865513336811224,0.0,0.0,0.023304400865476034,0.0007837396140336855
parkour_new,new_terrain_base_02,main,7500,10,0.9849802371541502,0.005243675557874143,11.963792398136125,0.0207359693756751,0.9960474308300394,0.0015623901483045332,0.015019762845849799,0.00524367555787415,0.0,0.0,0.019769722317395662,0.0003365790551776339
parkour_new,new_terrain_base_02,main,8000,10,0.7940711462450591,0.02225054220559302,11.129486363937733,0.12245180456347844,0.9225790513833992,0.009343171467309022,0.20592885375494072,0.022250542205592996,0.0,0.0,0.05093329814635694,0.0015170765441502806
