proj_name,exptid,label,checkpoint,repeats,success_rate_mean,success_rate_std,mean_mxd_mean,mean_mxd_std,mean_normalized_waypoints_mean,mean_normalized_waypoints_std,fall_rate_mean,fall_rate_std,stuck_rate_mean,stuck_rate_std,mean_edge_violation_mean,mean_edge_violation_std,mean_heading_loss_mean,mean_heading_loss_std
parkour_new,02-new-terrain-distill,parkour_new/02-new-terrain-distill,2400,7,0.7250566893424036,0.013882138517219708,9.356365606087406,0.17431964042974563,0.8253259637188208,0.008516874090115348,0.26927437641723356,0.015441993732285985,0.005668934240362812,0.005049277859367871,0.087408641584759,0.004144908553246356,0.0,0.0
parkour_new,02-new-terrain-distill,parkour_new/02-new-terrain-distill,2800,7,0.6026077097505669,0.03603825514509859,8.20544596658407,0.3111115343054473,0.7177579365079366,0.02581113316780307,0.3021541950113379,0.024932571727982685,0.08956916099773242,0.021352149496334898,0.08849100163629775,0.0069398235577145416,0.0,0.0
parkour_new,02-new-terrain-distill,parkour_new/02-new-terrain-distill,3200,7,0.7579365079365079,0.018612760951680282,9.770472192304746,0.20054971253538267,0.8506235827664399,0.012802452109941858,0.227891156462585,0.022663923604587254,0.014172335600907028,0.005049277859367871,0.08202713304227492,0.005467896980962326,0.0,0.0
parkour_new,02-new-terrain-distill,parkour_new/02-new-terrain-distill,3600,7,0.7301587301587301,0.016835875742536838,9.583104914413289,0.18450058612383644,0.8370181405895691,0.014548922411129105,0.2414965986394558,0.007745238674194711,0.028344671201814057,0.013828016913435904,0.09731861450624046,0.007085575291755377,0.0,0.0
parkour_new,02-new-terrain-distill,parkour_new/02-new-terrain-distill,4000,7,0.6490929705215419,0.0574075815679494,8.886135484423496,0.39891210857996323,0.773171768707483,0.03752037188552899,0.322562358276644,0.048042336366753514,0.027210884353741496,0.01221564350634466,0.08881666209038143,0.0028173598581573214,0.0,0.0
parkour_new,02-new-terrain-distill,parkour_new/02-new-terrain-distill,4400,7,0.7346938775510203,0.0241845000087319,9.539463990500995,0.27933489008618595,0.8347505668934241,0.018224084324242527,0.25056689342403626,0.024507898323375604,0.014739229024943309,0.00784145650840757,0.09163227964909489,0.003037648702622657,0.0,0.0
parkour_new,02-new-terrain-distill,parkour_new/02-new-terrain-distill,4800,7,0.5697278911564626,0.03214507331646884,7.951045886830948,0.2171488188400648,0.686578798185941,0.019734394222846455,0.35600907029478457,0.027845183307066233,0.07312925170068027,0.010711135843362349,0.1068740706095012,0.009776034389640512,0.0,0.0
parkour_new,02-new-terrain-distill,parkour_new/02-new-terrain-distill,5000,7,0.6746031746031746,0.009720197391996758,8.829264422223952,0.1334176128542094,0.7733843537414966,0.0070232943898965025,0.3117913832199547,0.01772543178895128,0.013605442176870748,0.01119046278873237,0.11406544877503695,0.0098914583075656,0.0,0.0
parkour_new,02-new-terrain-distill,parkour_new/02-new-terrain-distill,5500,7,0.594671201814059,0.043975975592944846,8.398773590385778,0.3351802218716206,0.7422760770975056,0.02500553896995452,0.32086167800453513,0.03416914550095155,0.07993197278911565,0.018673094208617465,0.10983422906929663,0.004611987696550101,0.0,0.0
parkour_new,02-new-terrain-distill,parkour_new/02-new-terrain-distill,6000,7,0.7205215419501133,0.020980163215696655,9.51330162956466,0.24236587651934982,0.8324121315192743,0.016257003327810635,0.25907029478458055,0.018572429894641907,0.02040816326530612,0.007398628855046065,0.10615355525462998,0.007709712370639157,0.0,0.0
